geometry,fare_zone,line,name,name:ru,naptan:AtcoCode,network,operator,public_transport,railway,ref:crs,source_ref,station,subway,wheelchair,wikidata,wikipedia,network:website,network:wikidata,wheelchair:description,old_name,operator:wikidata,operator:website,toilets:wheelchair,alt_name,source,start_date,air_conditioning,baby_feeding,level,train,platforms,light_rail,public_transport:version,tram,source:name,wikimedia_commons,network:subway,network:train,source:network,ref:stanox,ref:tiploc,addr:street,electrified,name:fr,loc_name,name:da,name:zh,name:zh-Hans,name:zh-Hant,postal_code,check_date,internet_access,internet_access:fee,not:network:wikidata,addr:city,addr:postcode,name:he,note,name:ar,name:cs,name:de,name:en,name:fa,name:fi,name:gan,name:hu,name:it,name:ja,name:lmo,name:nl,name:no,name:pl,name:uk,name:ur,name:yi,name:yue,layer,owner,ref:crs:underground,naptan:Bearing,naptan:CommonName,naptan:Indicator,naptan:verified,survey:date,usage,tourism,website,operator:subway,operator:train,opening_hours,description,source_ref:network,toilets,addr:housename,name:bn,network:wikidata:Elizabeth line,network:wikidata:National_Rail,ref:crs:crossrail,check_date:wheelchair,ref,source:ref,network:wikidata:Elizabeth_Line,railway:ref,railway:ref:DB,name:et,iata,ref:crs:eurostar,uic_ref,website:departures,internet_access:ssid,name:wuu,airside,fixme,alt_name:ru,note:wheelchair,indoor,addr:suburb,toilets:access,railway:aws,railway:tpws,frequency,gauge,tfl_travelzone,url,voltage,departures_board,covered,location,addr:country,building:levels,internet_access:access,internet_access:operator,noaddress,not:addr:postcode,colour,source:building,name:el,ref:crs:overground,website:overground,website:tube,levels,opening_date,ref:STANOX,ref:nalco,source:alt_name,name:pa,name:pnb,ref:GB:uprn,wheelchair:note,phone,image,shelter,bicycle,entrance,entrance_marker:subway,comment,ref:GB:tfl_uid,access,bicycle:conditional,addr:housenumber,brand,brand:wikidata,brand:wikipedia,fhrs:id,shop,source:addr,destination,description:en,smoking,source:wheelchair,naptan:StopType,source:railway,barrier,foot,amenity,name:bg,exit,exit_to,door,highway,building,nohousenumber,roof:shape
POINT (-0.2263134 51.50607),2,Hammersmith & City;Circle,Shepherd's Bush Market,Шепердс-Буш-Маркет,9400ZZLUSBM,London Underground,London Underground,station,station,ZSB,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1857909,en:Shepherd's Bush Market tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4718293 51.5097364),6,,West Drayton,,9100WDRYTON,National Rail;Elizabeth line,Elizabeth line,station,station,WDT,http://en.wikipedia.org/wiki/List_of_London_railway tions,,,yes,Q2033143,en:West Drayton railway station,https://www.nationalrail.co.uk/stations/wdt/,Q26334,Access from platform to train by manual boarding ramp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.192318 51.6008355),4,Northern,Finchley Central,,9400ZZLUFYC,London Underground,London Underground,station,station,ZFC,,subway,yes,yes,Q1416721,en:Finchley Central tube station,,Q20075,,Finchley (Church End),Q682520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.1057186 51.394738),,,St Mary Cray,,9100STMRYC,National Rail,Southeastern,station,station,SMY,,,,no,Q2349500,en:St Mary Cray railway station,https://www.nationalrail.co.uk/stations/smy/,Q26334,,,Q108888230,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/st-mary-cray,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2488001 51.6126689),,,Mill Hill Broadway,,9100MLHB,National Rail,Govia Thameslink Railway (Thameslink),station,station,MIL,,,,no,Q2396825,en:Mill Hill Broadway railway station,https://www.nationalrail.co.uk/stations/mil/,Q26334,,,,,no,Mill Hill Broadway Rail Station,GPS waypoint,1868-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0261521 51.4444696),3,,Catford,,9100CATFORD,National Rail,Govia Thameslink Railway (Thameslink),station,station,CTF,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,yes,Q2401174,en:Catford railway station,https://www.nationalrail.co.uk/stations/ctf/,Q26334,,,,,,,survey,,no,no,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1558767 51.4922264),1,District;Circle,Sloane Square,Слоун-сквер,9400ZZLUSSQ,London Underground,London Underground,station,station,ZSO,,subway,yes,no,Q1530578,en:Sloane Square tube station,,Q20075,,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0639692 51.5084776),,,Cyprus,,9400ZZDLCYP,Docklands Light Railway,,station,station,ZCQ,http://en.wikipedia.org/wiki/List_of_Docklands_Light_Railway_stations,light_rail,,yes,Q599724,en:Cyprus DLR station,,,,,,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2052902 51.4220721),3,District,Wimbledon,Уимблдон,9100WIMBLDN,National Rail;London Underground;London Trams,South Western Railway,station,station,WIM,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes,Q801616,en:Wimbledon station,https://www.nationalrail.co.uk/stations/wim/,Q26334,Step-free access street to platform,,Q30602320,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3592754 51.5575208),,,Northolt Park,,9100NTHOLTP,National Rail,Chiltern Railways,station,station,NLT,,,,limited,Q2799274,en:Northolt Park railway station,https://www.nationalrail.co.uk/stations/nlt/,Q26334,Flat access to both platforms. Please note that there is no flat access between platforms (access between platforms is via the footbridge). Flat access from one platform to another is via public footpaths and is a distance of roughly 500m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
